class,specobjid,ra,dec,z,sigma_forbidden,oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_eqw
GALAXY,368262216757045248,172.89018,-1.212352,0.0757868,49.13055,71.83164,15.00299,40.39312,128.6601,26.96564,24.41187,6.439118,-39.71559
GALAXY,368263316268673024,172.41121,-1.8087504,0.1219203,1,2.140648,5.563563,12.29661,9.829894,1.916849,-0.02639936,-3.798775,-0.3703649
GALAXY,368279534065182720,173.29333,-1.4882058,0.1047505,109.3056,8.090034,85.49025,51.33687,254.267,29.7345,23.21703,7.227934,-30.81616
GALAXY,369298506264897536,176.22735,-3.4501427,0.1203668,112.4015,4.712664,41.75178,14.84931,100.0255,7.413612,10.75461,5.899818,-12.20617
GALAXY,369383993293957120,174.75682,-1.7715027,0.1032836,57.47684,179.1716,96.56451,147.1927,503.5269,77.56396,61.19916,20.57059,-137.6078
GALAXY,369386467195119616,173.99312,-1.8131907,0.3046914,1,1.007848,3.017179,1.945302,-0.2902675,-31.1639,357.476,-1.230843,-0.0004379427
GALAXY,369401035724187648,175.15234,-2.0512311,0.09130854,67.60713,12.07694,69.62514,36.88071,139.4846,26.17665,16.67668,2.525284,-9.527924
GALAXY,369423575712557056,175.61578,-2.1515192,0.1066872,102.054,9.625696,103.4172,37.12439,226.4574,31.81881,23.20766,5.5018,-19.70678
GALAXY,369439243753252864,175.89499,-1.5945649,0.1044307,118.2373,67.74626,176.3302,127.9261,493.6632,89.40055,60.52003,11.2669,-45.56216
GALAXY,370428800426600448,177.93322,-2.8752266,0.1558302,190.854,4.431467,9.062828,5.291037,4.790281,3.567159,-6.017033,-4.948529,-0.4530603
GALAXY,370455188705667072,177.00792,-3.7071952,0.05816039,53.77732,4.668221,20.47044,15.04295,53.78422,11.13124,8.981166,0.8037103,-10.04685
GALAXY,370463160164968448,177.26594,-2.6731001,0.1014671,94.99355,19.69427,70.77496,50.68601,208.2691,38.21474,23.86497,2.113714,-22.74376
GALAXY,370512363310311424,175.93152,-1.6609046,0.1189709,1,0.01126908,1.44495,5.521272,6.908174,2.46346,-2.448206,-1.356763,-0.3697633
